## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
597  -53.241 -161.125
598  -61.346 -172.696
599  -70.341 -152.621
600  -66.258 -176.774
601  -70.373 -170.370
602  -74.652 -179.805
603  -63.396  163.482
604  -58.851  178.847
605  -52.952 -171.035
606  -60.430 -158.417
607  -68.911 -167.367
608  -60.704  160.194
609  -69.143  179.633
610  -83.222  173.926
611  -71.594  176.284
612  -71.770  173.103
613  -60.535 -179.874
614  -72.643 -176.769
615  -55.133 -174.376
616  -45.896 -179.993
617  -64.449 -157.849
618  -62.701 -174.722
619  -55.485 -171.680
620  -58.894  161.396
621  -65.185  154.985
622  -58.619 -174.185
623  -67.432 -169.055
624  -63.945  166.684
625  -46.608 -178.570
626  -65.012  172.810
627  -66.307  173.025
628  -53.286  175.246
629  -64.001 -169.460
630  -54.174 -175.837
631  -55.235 -167.543
632  -63.441  174.001
633  -76.826 -166.127
634  -38.879  171.866
635  -89.582 -175.532
636  -87.604 -176.524
637  -74.659  178.926
638  -68.261 -168.819
639  -61.017  158.857
640  -55.903  173.312
641  -64.455 -172.060
642  -72.295  173.430
643  -67.837 -174.071
644  -75.435 -170.263
645  -41.684  160.037
646  -55.559 -169.851
647  -63.433  171.807
648  -71.723  163.242
649  -66.895 -158.255
650  -73.187 -175.147
651  -56.122 -175.713
652  -52.720  178.398
653  -63.684  178.394
654  -55.111  176.042
655  -58.262  176.590
656  -86.019 -164.232
657  -47.659  172.682
658  -70.254  177.270
659  -80.314  177.513
660  -70.826 -169.751
661  -56.215 -177.252
662  -81.319 -177.134
663  -71.794 -172.871
664  -72.053 -170.601
665  -71.542 -164.094
666  -64.106 -174.270
667  -65.905 -179.459
668  -60.791 -172.705
669  -64.316 -154.278
670  -69.391  178.885
671  -70.945 -175.958
672  -63.441  163.271
673  -56.614 -170.361
674  -62.537  176.996
675  -64.776  175.234
676  -65.515  171.394
677  -69.448 -172.754
678  -82.334  155.904
679  -72.912 -165.988
680  -56.920  169.353
681  -61.810 -172.546
682  -54.545  163.104
683  -70.964  169.296
684  -75.759 -168.188
685  -63.801 -169.177
686  -70.942 -166.125
687  -45.920 -164.194
688  -63.329  169.928
689  -58.499  179.896
690  -76.728  177.226
691  -66.570  176.107
692  -66.416 -148.524
693  -62.141 -164.238
694  -75.938 -168.342
695  -64.187  170.397
696  -64.476 -178.570
697  -66.864  167.041
698  -63.739   62.216
699  -46.270   64.759
700  -69.458   50.002
701  -59.419   43.037
702  -63.631   71.858
703  -59.501   96.590
704  -64.381   46.584
705  -58.064   54.473
706  -59.932   79.784
707  -53.029   74.903
708  -60.081   52.940
709  -57.652   58.114
710  -64.996   54.472
711  -71.533   -2.141
712  -63.533  -69.108
713  -64.183  -51.827
714  -77.055  -49.987
715  -67.283  -88.763
716  -65.621  -53.877
717  -80.061  -64.116
718  -63.222  -62.352
719  -67.885  -61.362
