  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      215        0.647        1.790            1      119.361      154.651      179.053
      216        0.579        1.807            1      120.112      163.971      175.732
      217        0.690        1.745            1      117.413      170.221      176.183
      218        0.668        1.793            1      119.987      160.147      178.918
      219        0.664        1.779            1      118.317      126.440      179.741
      220        0.739        1.773            0      118.680      152.851      178.433
      221        0.700        1.758            0      117.667      125.410      178.127
      222        0.699        1.733            1      116.806       97.599      173.782
      223        0.702        1.777            0      118.827      120.234      177.926
      224        0.699        1.784            0      119.163      115.974      179.616
      225        0.698        1.761            1      117.715      116.939      176.366
      226        0.671        1.718            0      117.236      114.479      173.238
      227        0.703        1.794            0      118.740      122.631      183.664
      228        0.704        1.788            0      120.015      124.675      178.431
      229        0.532        1.764            0      118.329      118.655      175.699
      230        0.650        1.779            0      119.665      122.617      178.771
      231        0.708        1.746            1      117.906      121.410      173.831
      232        0.609        1.754            0      118.166      105.227      177.261
      233        0.590        1.807            1      119.749      127.996      179.555
      234        0.640        1.806            1      119.847      114.690      181.412
      235        0.693        1.756            0      118.747      125.435      177.940
      236        0.693        1.747            1      118.080      115.783      174.387
      237        0.708        1.775            1      118.185      112.257      180.755
      238        0.717        1.733            1      117.622      120.979      174.082
      239        0.650        1.757            0      118.461      122.215      175.241
      240        0.703        1.749            0      117.881      139.136      174.965
      241        0.685        1.750            0      117.814      138.458      175.193
      242        0.631        1.810            1      120.727      147.946      179.801
      243        0.728        1.729            0      117.237      127.171      173.754
      244        0.664        1.760            0      118.683      135.008      175.376
      245        0.705        1.759            1      117.988      134.491      177.107
      246        0.642        1.776            1      118.941      147.340      180.679
      247        0.665        1.762            1      118.042      130.736      178.521
      248        0.568        1.783            1      119.201      136.680      179.712
      249        0.672        1.713            0      116.418      128.924      174.850
      250        0.720        1.794            1      119.690      145.937      178.834
      251        0.612        1.731            1      117.261      149.469      174.161
      252        0.629        1.757            1      118.031      139.009      177.514
      253        0.719        1.795            1      119.796      137.489      181.490
      254        0.692        1.725            1      117.067      133.481      172.875
      255        0.688        1.761            1      118.198      147.348      178.273
      256        0.633        1.797            1      119.642      171.374      179.595
      257        0.699        1.780            1      119.180      161.770      178.179
      258        0.642        1.736            1      117.792      170.433      174.908
      259        0.632        1.747            1      118.121      147.722      175.652
      260        0.726        1.767            0      118.483      172.877      176.766
      261        0.697        1.792            0      119.789      151.616      178.794
      262        0.660        1.795            0      119.677      146.925      183.038
      263        0.682        1.747            0      117.777      137.173      173.578
      264        0.641        1.814            1      120.766      152.797      180.891
      265        0.600        1.761            0      118.632      129.640      179.366
      266        0.666        1.725            1      117.201      139.095      171.084
      267        0.659        1.771            0      118.127      146.480      178.912
      268        0.647        1.751            1      117.914      147.906      175.143
      269        0.692        1.809            0      120.441      148.460      181.304
      270        0.631        1.768            1      118.801      122.146      177.007
      271        0.648        1.743            1      116.726      138.058      175.964
      272        0.603        1.765            0      119.311      121.901      174.825
      273        0.551        1.726            0      116.876      124.567      172.030
      274        0.626        1.731            1      117.169      130.715      174.594
      275        0.683        1.806            0      120.164      125.123      181.970
      276        0.675        1.782            1      118.636      122.122      178.265
      277        0.585        1.795            0      119.477      126.699      181.107
      278        0.561        1.758            0      118.754      122.151      175.722
      279        0.711        1.747            1      118.181      132.140      174.966
      280        0.652        1.811            0      120.690      120.447      182.654
      281        0.650        1.759            0      118.524      153.776      178.431
      282        0.710        1.787            0      119.597      131.683      177.055
      283        0.582        1.742            1      117.270      154.177      174.995
      284        0.648        1.773            0      119.982      130.185      174.987
      285        0.678        1.740            0      117.920      129.539      175.017
      286        0.583        1.801            0      120.080      119.733      180.187
      287        0.627        1.783            1      118.489      156.485      178.144
      288        0.629        1.779            0      119.355      124.004      179.050
      289        0.678        1.778            0      119.430      125.695      176.766
      290        0.683        1.756            0      118.297      149.642      174.601
      291        0.709        1.777            0      118.919      145.865      178.637
      292        0.499        1.772            0      119.487      126.678      174.633
      293        0.635        1.770            0      119.024      139.123      176.032
      294        0.608        1.756            1      117.473      142.290      177.034
      295        0.628        1.771            0      118.760      156.190      178.408
      296        0.695        1.761            0      117.651      135.165      179.069
      297        0.700        1.781            0      119.197      152.722      178.077
      298        0.713        1.776            1      119.395      141.349      179.027
      299        0.685        1.757            0      117.549      131.029      177.448
      300        0.687        1.749            0      118.171      138.005      175.542
      301        0.722        1.771            0      118.794      143.332      177.101
      302        0.656        1.725            1      117.795      149.900      173.886
      303        0.722        1.782            0      119.163      150.709      181.881
      304        0.613        1.778            0      120.024      127.205      176.486
      305        0.662        1.746            1      118.469      131.713      176.584
      306        0.683        1.801            0      120.484      148.285      180.679
      307        0.724        1.798            1      119.843      126.490      179.975
      308        0.711        1.798            0      119.975      119.346      179.145
      309        0.736        1.795            0      119.844      120.968      181.301
      310        0.674        1.774            0      117.873      130.193      178.409
      311        0.657        1.746            1      118.011      115.066      174.925
      312        0.697        1.794            0      119.828      112.689      180.644
      313        0.680        1.766            1      118.534      124.679      176.382
      314        0.702        1.771            0      118.601      124.390      179.930
      315        0.690        1.775            1      118.868      126.651      178.364
      316        0.591        1.750            1      117.273      178.672      174.768
      317        0.684        1.776            1      118.525      169.246      176.079
      318        0.703        1.731            1      116.742      173.805      173.933
      319        0.624        1.756            0      117.806      189.103      179.468
      320        0.631        1.740            0      117.159      173.742      173.954
      321        0.727        1.774            1      118.723      178.553      181.175
      322        0.715        1.730            1      116.620      177.621      174.142
      323        0.696        1.765            0      117.893      175.004      178.354
      324        0.699        1.743            0      117.766      171.576      173.680
      325        0.636        1.799            1      118.869      170.042      178.888
      326        0.704        1.751            1      117.140      169.195      173.312
      327        0.599        1.761            1      117.888      169.649      178.995
      328        0.711        1.768            1      117.377      174.393      180.071
      329        0.665        1.762            0      118.336      176.483      176.932
      330        0.628        1.751            0      117.590      165.569      175.919
      331        0.743        1.803            1      119.589      183.217      180.947
      332        0.691        1.747            0      117.043      174.637      176.031
      333        0.693        1.744            1      116.769      169.675      174.902
      334        0.674        1.767            0      118.491      156.946      175.452
      335        0.635        1.711            0      116.321      172.011      172.041
      336        0.673        1.735            1      116.713      171.715      172.721
      337        0.658        1.782            0      118.828      174.897      179.170
      338        0.665        1.770            1      119.328      151.755      175.813
      339        0.727        1.755            1      118.549      148.634      175.779
      340        0.676        1.768            1      117.691      153.296      178.563
      341        0.676        1.754            0      116.934      148.156      175.598
      342        0.636        1.758            1      117.849      150.929      177.471
      343        0.680        1.797            0      119.901      154.389      177.870
